k,p,realization,N,E,k_mean,C,L,lambda2
4,0.2,28,100,200,4.0,0.19133333333333333,3.9008080808080807,0.39854671239322087
4,0.2,29,100,200,4.0,0.3282857142857143,4.311717171717172,0.21029742041992133
4,0.3,0,100,200,4.0,0.23366666666666666,4.024646464646465,0.2572212293351475
4,0.3,1,100,200,4.0,0.16266666666666665,3.8701010101010103,0.2993741341446619
4,0.3,2,100,200,4.0,0.07914285714285714,3.6852525252525252,0.4432233468921697
4,0.3,3,100,200,4.0,0.21247619047619046,3.8448484848484847,0.36321995878433333
4,0.3,4,100,200,4.0,0.1499047619047619,3.6626262626262625,0.47419133853062223
4,0.3,5,100,200,4.0,0.16895238095238096,3.8034343434343434,0.3742986806860245
4,0.3,6,100,200,4.0,0.22395238095238096,3.9523232323232325,0.3389768543375327
4,0.3,7,100,200,4.0,0.18,3.8305050505050504,0.3077806538976203
4,0.3,8,100,200,4.0,0.17461904761904762,3.761010101010101,0.38911934050571223
4,0.3,9,100,200,4.0,0.18923809523809523,3.790909090909091,0.3422854894879699
4,0.3,10,100,200,4.0,0.185,3.817979797979798,0.3464754299457851
4,0.3,11,100,200,4.0,0.251,4.103838383838384,0.21687153585262015
4,0.3,12,100,200,4.0,0.18976190476190474,3.9446464646464645,0.26692188395189226
4,0.3,13,100,200,4.0,0.21933333333333332,3.8292929292929294,0.39560705266645174
4,0.3,14,100,200,4.0,0.14661904761904762,3.665656565656566,0.4616251106286752
4,0.3,15,100,200,4.0,0.1733333333333333,3.8505050505050504,0.2914855496233538
4,0.3,16,100,200,4.0,0.14695238095238095,3.7232323232323234,0.4159748817742026
4,0.3,17,100,200,4.0,0.21376190476190476,3.9224242424242424,0.25229602091546366
4,0.3,18,100,200,4.0,0.23428571428571426,3.9183838383838383,0.34179917603071097
4,0.3,19,100,200,4.0,0.1848095238095238,3.7676767676767677,0.36769882188664443
4,0.3,20,100,200,4.0,0.14552380952380953,3.733939393939394,0.4462954309624467
4,0.3,21,100,200,4.0,0.15219047619047618,3.644242424242424,0.42654400576995116
4,0.3,22,100,200,4.0,0.15728571428571428,3.7355555555555555,0.39215247555862603
4,0.3,23,100,200,4.0,0.24066666666666667,3.998181818181818,0.30217477712262747
4,0.3,24,100,200,4.0,0.1500952380952381,3.7862626262626264,0.3996632895553129
4,0.3,25,100,200,4.0,0.20266666666666666,3.9567676767676767,0.3572488195369427
4,0.3,26,100,200,4.0,0.1757857142857143,3.7767676767676766,0.3517586114995017
4,0.3,27,100,200,4.0,0.14433333333333334,3.855757575757576,0.339126639438133
4,0.3,28,100,200,4.0,0.19466666666666665,3.849090909090909,0.37050451710741394
4,0.3,29,100,200,4.0,0.2282857142857143,3.966666666666667,0.2297645245093463
4,0.4,0,100,200,4.0,0.10266666666666666,3.7026262626262625,0.38477260301482624
4,0.4,1,100,200,4.0,0.12259523809523809,3.634949494949495,0.512135090984885
4,0.4,2,100,200,4.0,0.11533333333333333,3.622020202020202,0.45014911549379866
4,0.4,3,100,200,4.0,0.10466666666666667,3.624040404040404,0.4667034493406301
4,0.4,4,100,200,4.0,0.12517460317460316,3.6262626262626263,0.46038330026689805
4,0.4,5,100,200,4.0,0.1544761904761905,3.7894949494949497,0.28605060603939836
4,0.4,6,100,200,4.0,0.11747619047619047,3.7315151515151515,0.4175893800094332
4,0.4,7,100,200,4.0,0.13257142857142856,3.6365656565656566,0.49095103316431016
4,0.4,8,100,200,4.0,0.11214285714285714,3.6654545454545455,0.4716587628046746
4,0.4,9,100,200,4.0,0.11599999999999999,3.6125252525252525,0.519554839667745
4,0.4,10,100,200,4.0,0.14033333333333334,3.769090909090909,0.37212306125781364
4,0.4,11,100,200,4.0,0.14037301587301587,3.6575757575757577,0.42957004397228027
4,0.4,12,100,200,4.0,0.1853095238095238,3.7288888888888887,0.4141861732216739
4,0.4,13,100,200,4.0,0.159,3.7915151515151515,0.3585229716502618
4,0.4,14,100,200,4.0,0.20423809523809525,3.7177777777777776,0.3731956744189593
4,0.4,15,100,200,4.0,0.12256349206349207,3.612929292929293,0.44362233865836465
4,0.4,16,100,200,4.0,0.1606190476190476,3.7246464646464648,0.42192804707157455
4,0.4,17,100,200,4.0,0.11198412698412698,3.611919191919192,0.43025874320809615
4,0.4,18,100,200,4.0,0.1653333333333333,3.692727272727273,0.4472005854418562
4,0.4,19,100,200,4.0,0.24247619047619046,3.7537373737373736,0.4000446940328411
4,0.4,20,100,200,4.0,0.13066666666666665,3.707272727272727,0.40594776342917627
