k,p,plateau_mean,plateau_sem,vmin_mean,tstar_mean,delta_mean,delta_sem,C_mean,C_sem,L_mean,L_sem,lambda2_mean,lambda2_sem,inv_lambda2_mean
12,0.01,0.02913080791247391,0.00021202013112866033,0.024539506635648887,85.53333333333333,0.1567164095696349,0.005464091260713004,0.6604537203537203,0.001377783888359437,3.364875420875421,0.04599363459935699,0.4412275731191354,0.009504985907692803,2.2664041436276943
12,0.03,0.02680149382852913,0.0001621006350697151,0.023274528242534263,177.13333333333333,0.13097600248927818,0.0048361129513340845,0.6290326673326674,0.002326406427791923,2.934228956228956,0.025774329168112,0.5845565973221664,0.01729638112346086,1.7106983388451444
12,0.05,0.025243973598047878,0.00013521228044677312,0.02249054371555638,256.26666666666665,0.10858301177247927,0.004619711426428274,0.5916987327487326,0.0023320781688048416,2.7080134680134678,0.0113615561993895,0.8047731871685067,0.018509932736463522,1.242586129786921
12,0.1,0.02337577307196701,7.523621468869287e-05,0.020969365046282617,262.26666666666665,0.10279105707468199,0.003180751715480614,0.516419770969771,0.003161776420670581,2.4869292929292928,0.007511016528892216,1.2696741976950576,0.03187623313865511,0.7876036244694749
12,0.2,0.021857037700185062,3.05583819528888e-05,0.01980226917061101,242.96666666666667,0.0939984699144183,0.0022989897198888317,0.3844054599539894,0.0031740645982209882,2.3054478114478116,0.0029628386767680376,2.2226175401835833,0.03037780682222317,0.4499199623509685
12,0.3,0.02120625850300293,2.353152095069773e-05,0.019312570864061747,207.9,0.08928590711760914,0.0022467857239281473,0.2914821763204117,0.003776979481715678,2.214161616161616,0.0029679462121379395,3.048176061087681,0.04276398804907346,0.3280650395381591
12,0.4,0.02090148391700083,2.111626682651098e-05,0.019090083415471797,231.03333333333333,0.0866365268667439,0.0020765773776668097,0.2124537631328653,0.003002574122118856,2.1502020202020202,0.00236672250523181,3.924224328994656,0.04789365869240837,0.2548274298722849
12,0.5,0.02080219701371375,2.087652366413401e-05,0.01897464383977261,278.06666666666666,0.08784510766110451,0.002178370049995969,0.16678222322626352,0.0017514125210660767,2.114148148148148,0.001505327751449699,4.555139884899708,0.044881152623496075,0.2195322262912278
12,0.7,0.020629344799331224,2.4315257657221625e-05,0.018821304843612705,237.2,0.0876275206660054,0.0019555781366954257,0.12327614712715332,0.001370696478178131,2.0806195286195286,0.0012005693327274637,5.148863680649078,0.037060877104605455,0.19421761033571153
12,0.9,0.02062475736839387,2.0810064474117592e-05,0.01883198642141087,267.03333333333336,0.0869061011304867,0.0019857082946774366,0.11305750997169424,0.0010983603761480522,2.0745454545454547,0.0009324375489599344,5.218813557432373,0.03911287119293784,0.1916144328581829
12,1.0,0.020590294477884487,2.2077686053814746e-05,0.018846196554240587,247.73333333333332,0.08468765640181145,0.0022408693039398407,0.11316427425916586,0.0011383732753374358,2.0745858585858583,0.0008615427736880306,5.301517273019465,0.03577063849873164,0.1886252460383766
14,0.0,0.028780160407554885,0.00018749460970308835,0.023792877686625743,46.53333333333333,0.17232259274763184,0.007025834494434017,0.6923076923076924,2.0616324000971782e-17,4.040404040404041,0.0,0.5466562075010046,4.1232648001943564e-17,1.829303292047886
14,0.01,0.02699541508364316,0.0001621778714265043,0.023152044847882264,134.7,0.1417156611276947,0.005480760964370866,0.67262533022533,0.0014335740857016465,3.0911919191919193,0.04044679915568201,0.6340523312036107,0.010192524826899991,1.5771568856181273
14,0.03,0.025123516208206253,0.0001361419483979612,0.022184189951359477,178.0,0.11646241624796717,0.00422421530443162,0.6381012199673964,0.0024692260683946725,2.6695151515151516,0.017992555322870942,0.851169456591691,0.02047795342687082,1.174854187090155
14,0.05,0.02395045812707651,8.283522410113953e-05,0.02148300014405598,236.33333333333334,0.10295668939933629,0.0025012982520574915,0.6004056506559602,0.002641892780242348,2.498249158249158,0.008816272064616753,1.1259644159623388,0.01957098143435432,0.8881275338930853
14,0.1,0.02255074565180485,6.90103614740034e-05,0.020429686652212356,305.06666666666666,0.09398110542848961,0.001951662954205813,0.5253220207724852,0.0032074024265598055,2.3385656565656565,0.006084278625570741,1.6654710375065487,0.03467887199438504,0.6004307354975952
14,0.2,0.021351940148175538,3.693716805733149e-05,0.019355008479544366,233.43333333333334,0.0934933790804997,0.002228666120285792,0.3911225001177014,0.0034388589655453966,2.1699124579124582,0.0037503695944216455,2.924969483929701,0.047995844620623986,0.34188390870201435
14,0.3,0.020852655334044557,2.7347276473447754e-05,0.019055824824596803,311.0,0.08614552814447478,0.0018026092920648675,0.29370050374586654,0.002976671821514144,2.081198653198653,0.0025235648991395057,3.996090120613485,0.05204559349640981,0.2502446065571911
14,0.4,0.020670399485687472,1.8314639389845727e-05,0.018869211100651005,237.93333333333334,0.08711664896916962,0.0018082825142076966,0.23178462304236297,0.002085410125929828,2.031138047138047,0.0019561357314382896,4.971259231531805,0.0523657447508266,0.20115627719777304
14,0.5,0.020518869835427656,2.3740661965041098e-05,0.01872305967924432,248.36666666666667,0.08749506134004138,0.0019541229275421633,0.18219535484009167,0.0013180303864061542,1.994767676767677,0.001216885640020168,5.787182670054561,0.04480384621952403,0.17279565153082893
14,0.7,0.02045215016448321,2.395506879450743e-05,0.01866963866058545,249.63333333333333,0.08713344703556736,0.002258914753611613,0.1415669949015951,0.0011170959227271753,1.969791245791246,0.0007999552773769836,6.553090246887177,0.03809146291581947,0.15259976016277452
14,0.9,0.020385916601700426,2.05140991826558e-05,0.018599266648218774,297.6,0.08762356384505034,0.0024485780798765054,0.13091770779922282,0.0009446463158763181,1.963973063973064,0.0008105924819212617,6.676294369978049,0.054125444785051484,0.14978368906212383
14,1.0,0.02038918476721801,1.6723674893321424e-05,0.018710809135524427,260.1,0.0823004409617316,0.0012970904887636755,0.13382254079127076,0.0011361339432210754,1.9661818181818178,0.0011055601607044734,6.581720380309381,0.05027427861666327,0.15193595932633558
