k,p,realization,lambda2,lambda_max,kappa,sum_inv,kirchhoff,clustering,path_len,deg_var,plateau,vmin,t_star,delta_rel,init_slope
4,0.03,11,0.04497498630934531,7.760121727649966,172.54305925241601,89.3477756478476,8934.77756478476,0.44733333333333336,6.3686868686868685,0.14,0.05434566610255314,0.03430493349274473,6,0.36876413607647185,-0.007709747036109088
4,0.03,12,0.05547986374588479,6.892330415018101,124.23120659753492,87.06805536365611,8706.805536365611,0.45,6.8951515151515155,0.1,0.05406764470007117,0.03295113114877281,4,0.39055730406674377,-0.008403003518120478
4,0.03,13,0.10030309783220874,7.147712011239496,71.2611291746591,72.82289995895638,7282.289995895639,0.439,5.683838383838384,0.2,0.047274092488005445,0.033155026208890166,6,0.2986639306232609,-0.008355741018830057
4,0.03,14,0.036571412759078506,7.126262588446816,194.85882690374845,97.70199358781913,9770.199358781912,0.4553333333333333,7.422626262626262,0.12,0.06228536416399776,0.033181043029987964,5,0.4672738375162732,-0.008216125952017152
4,0.03,15,0.047230528005425446,7.018306282421209,148.5968202941751,85.35882536222887,8535.882536222887,0.4493333333333333,6.738787878787879,0.14,0.051886961389235695,0.0347793319933395,7,0.3297096021399567,-0.00848556757074755
4,0.03,16,0.0396328838060997,7.136666960005357,180.06933320625504,97.00288320496212,9700.28832049621,0.48533333333333334,7.481616161616162,0.14,0.06456054735804258,0.03487183801867697,3,0.45985838959382924,-0.007520576703083678
4,0.03,17,0.019827489607788337,6.806388752721223,343.28040954048157,152.22848097780565,15222.848097780565,0.491,10.82969696969697,0.06,0.11421409028667691,0.03274702696807163,5,0.7132838261384675,-0.008691609493965214
4,0.03,18,0.021997920151178157,6.933853552188411,315.20496049336964,121.65418315291218,12165.418315291217,0.4686666666666667,8.761414141414141,0.08,0.06578492992323194,0.03541114164357447,6,0.46171347016865893,-0.008042612225330134
4,0.03,19,0.053526213443260875,7.6375098996534385,142.68728176988253,88.40493538919445,8840.493538919445,0.45733333333333337,6.766262626262626,0.14,0.05986579032076163,0.0348844261050099,11,0.4172894750391046,-0.0076957699247519
4,0.05,0,0.07178230237375582,7.288371877699479,101.53438433543705,78.77180459387904,7877.180459387904,0.4606666666666666,5.9523232323232325,0.18,0.049736515438347215,0.034339973807566315,8,0.3095621294552946,-0.008776428495273858
4,0.05,1,0.04656368395582115,7.81747349645153,167.88777932323006,92.98431222353848,9298.431222353847,0.4446666666666667,6.355151515151515,0.14,0.0573634407783058,0.03492118822413327,9,0.391229191444526,-0.0076197521396344356
4,0.05,2,0.05333552426344646,7.155305334367657,134.1564638799576,88.11558568022738,8811.558568022738,0.44666666666666666,6.785858585858586,0.16,0.05837967266529337,0.03491630110582535,11,0.40190995406894353,-0.008198378525225683
4,0.05,3,0.052110683435971146,7.1435223042096165,137.08364260827486,82.85463457437972,8285.463457437972,0.43766666666666665,6.447070707070707,0.14,0.051109356019663495,0.035091461573350885,5,0.3134043489053156,-0.007677943994302237
4,0.05,4,0.12173564547675535,7.979604257154336,65.54862567905792,63.77740219647169,6377.740219647169,0.389,5.309292929292929,0.32,0.041151694336314375,0.03389466300929126,202,0.17634829972527125,-0.007703566978565286
4,0.05,5,0.04848466776754137,7.190095960899845,148.2962819374693,89.22533508448458,8922.533508448458,0.446,6.58080808080808,0.16,0.060689265994594975,0.03282383178196666,6,0.4591493035211536,-0.00770092713717025
4,0.05,6,0.05025908524506807,7.701370369211066,153.2333971392128,84.57308186157667,8457.308186157667,0.43166666666666664,6.673939393939394,0.18,0.05335119277378611,0.03586834887419707,4,0.32769359016428895,-0.007754476512780996
4,0.05,7,0.08042639279076463,7.745642848852968,96.30722677074236,73.53221533474058,7353.221533474059,0.4246666666666667,5.9634343434343435,0.2,0.046903459548995434,0.03314588635636134,7,0.293316811274079,-0.007777226064014351
4,0.05,8,0.049572124686862035,6.851406381055846,138.21086798951862,103.57996607640857,10357.996607640856,0.4756666666666666,7.899393939393939,0.06,0.06935644440855235,0.03555072451511125,10,0.48742002537362644,-0.008059782119002691
4,0.05,9,0.06540486319592245,7.200362282579217,110.08909629564229,76.92417474021161,7692.417474021161,0.4243333333333333,6.0907070707070705,0.22,0.04824297380394824,0.03334327072211134,6,0.3088471109261822,-0.00842677450307674
4,0.05,10,0.070159422351036,7.303205351858682,104.09443389253958,79.60256083147506,7960.256083147506,0.446,5.916767676767677,0.2,0.0532479012488975,0.032438489452006086,7,0.39080247876102486,-0.009224839567711508
4,0.05,11,0.06619897920519612,7.498794657436561,113.27659047721333,81.16438819762864,8116.438819762864,0.445,6.181212121212122,0.12,0.04712032434967187,0.033907127405389814,5,0.28041396417879433,-0.0085051620105368
4,0.05,12,0.054889027476812784,7.596393953216651,138.39549182075885,84.55854754574652,8455.854754574651,0.43333333333333335,6.310909090909091,0.18,0.056764777829645244,0.032692221488241364,8,0.42407558457547695,-0.00794785241836817
4,0.05,13,0.1326475519222131,8.559603389140452,64.52892092693845,67.78419228797149,6778.419228797149,0.4137619047619047,5.288484848484848,0.28,0.04533290990064378,0.033541682841524534,7,0.2601030263656602,-0.008466241409390752
4,0.05,14,0.04282592306593641,7.182892806468139,167.72301195724575,88.93239715805308,8893.239715805308,0.44733333333333336,6.8698989898989895,0.16,0.05936242236736656,0.03237894346013666,8,0.4545548822155814,-0.008850454641352808
4,0.05,15,0.03834505166275334,6.89414996839419,179.79242873444494,96.21362174770515,9621.362174770515,0.4513333333333333,7.205656565656565,0.12,0.05940788500259544,0.031838459119539204,7,0.4640701462752254,-0.008135688942330835
4,0.05,16,0.08290132926479209,7.662510393630056,92.42928263738104,75.06526045350198,7506.526045350198,0.41833333333333333,5.988686868686869,0.24,0.0486881244370787,0.03374001693394789,4,0.30701752585373776,-0.008253054084093246
4,0.05,17,0.07167703811552792,7.677928056644781,107.11837791441127,79.53070941472457,7953.070941472457,0.43233333333333335,6.057575757575758,0.18,0.05290631685268658,0.03217184968691022,6,0.39190910271659685,-0.008781875222991183
4,0.05,18,0.03956528799922142,7.906753374789523,199.8406627280235,102.23330387298246,10223.330387298247,0.4726666666666667,7.387272727272728,0.16,0.06405877883800341,0.034215846818326366,5,0.4658679506699006,-0.00861114587452425
4,0.05,19,0.06240427096804396,7.196757725953702,115.32476246119477,80.53953760417407,8053.9537604174075,0.44,6.194141414141414,0.18,0.05200264805802122,0.03448604064952533,6,0.33684068143899093,-0.008346787090582819
4,0.1,0,0.09317803902765914,7.89143521036919,84.69200782414708,65.9786350779086,6597.86350779086,0.3543333333333333,5.098585858585858,0.46,0.041827913670284954,0.03116065473284718,7,0.2550272772752689,-0.008738562556168302
4,0.1,1,0.14921733629745426,8.068527570012538,54.07232008168606,58.103273857502806,5810.327385750281,0.375,4.771717171717172,0.46,0.03866085741042744,0.03245220493147984,153,0.16059272594593382,-0.008105627330504902
4,0.1,2,0.09756467929248258,8.674319761259236,88.90840234563859,68.82343457308129,6882.343457308129,0.4127619047619048,5.3262626262626265,0.36,0.04494935998346552,0.034453710939982965,8,0.23349941016609235,-0.008349802775513004
4,0.1,3,0.12770497073283035,7.645384429624858,59.867555552083026,61.036998786767874,6103.699878676787,0.38199999999999995,5.006060606060606,0.42,0.03835059649539742,0.031387000872112394,14,0.1815772441537056,-0.007878562331241417
4,0.1,4,0.09075248611839509,7.753807062131539,85.43905950979651,63.95424593010635,6395.424593010635,0.38,5.026666666666666,0.4,0.04292722585024868,0.032174013475099884,44,0.25049865585680525,-0.00885671462149402
4,0.1,5,0.11925855141196239,8.020212865325382,67.25063125763327,61.80569788095133,6180.569788095133,0.39166666666666666,5.051313131313131,0.5,0.03922412546616488,0.03298540528833809,12,0.15905313639709756,-0.008290493951352916
4,0.1,6,0.06545243336987144,7.528067102935988,115.01584762166,65.07897311289838,6507.897311289838,0.36066666666666664,5.2856565656565655,0.28,0.04102619119946766,0.030453823632686276,16,0.257698003584563,-0.008651578143211403
4,0.1,7,0.08441018869688194,7.8266977504116415,92.72219232345769,65.43443349443545,6543.443349443545,0.36766666666666664,5.22040404040404,0.38,0.04009284023753069,0.030950675134434176,7,0.2280248804757559,-0.008063852252957766
4,0.1,8,0.15601539471474826,7.823882315456643,50.148142942954365,58.0235530232092,5802.355302320921,0.3536666666666667,4.903434343434343,0.34,0.038605296493585274,0.030023405513768836,6,0.222298279233328,-0.00853405939529665
4,0.1,9,0.12836622611483692,7.974803733661211,62.12540459456151,57.026080673368895,5702.60806733689,0.348,4.811919191919192,0.38,0.03541009860460079,0.031008940342624296,428,0.12429104790475377,-0.008370044284930397
4,0.1,10,0.11711158356055154,7.986211831850587,68.19318455993198,57.42690112235108,5742.690112235108,0.3486666666666667,4.837979797979798,0.5,0.03468161221199962,0.030072413645463546,455,0.13290035475747922,-0.008565569444753013
4,0.1,11,0.12291626432387087,8.191039931408348,66.63918706336418,62.266096207026784,6226.6096207026785,0.37633333333333335,5.019191919191919,0.38,0.040373979736064866,0.03185056130355563,5,0.2111116736132782,-0.008946694816229093
4,0.1,12,0.14912815704868382,7.802187383738312,52.318673670668645,60.06435650351701,6006.435650351701,0.37799999999999995,4.838989898989899,0.38,0.04121438581957945,0.032953512895018515,6,0.20043663784591684,-0.00823343930522486
4,0.1,13,0.1232570320861732,8.88756331414379,72.10593313597062,58.50045245810009,5850.045245810009,0.3434285714285714,4.634343434343434,0.52,0.04132010755485066,0.030358454491997266,7,0.26528616965244517,-0.007902209492685273
4,0.1,14,0.1027315903816161,8.41261354913718,81.88925643890961,58.11903605776319,5811.903605776319,0.3536666666666667,4.6478787878787875,0.64,0.039198677497277616,0.030729997795058767,297,0.21604503628488503,-0.009017933572359882
4,0.1,15,0.10093184682372124,7.706089649338986,76.34943669264042,64.88102519172426,6488.102519172427,0.37766666666666665,5.207272727272727,0.32,0.03980958709512207,0.031591312806425735,6,0.2064395762020685,-0.008502274237614531
4,0.1,16,0.1318551887725567,7.729400907433428,58.620377244055526,57.85173955658463,5785.1739556584635,0.3493333333333333,4.866868686868687,0.36,0.03706035679907325,0.03129593398460952,37,0.15554148185124542,-0.009027825602486873
