k,p,lambda2_mean,lambda2_sem,clustering_mean,clustering_sem,pathlen_mean,pathlen_sem,degvar_mean,degvar_sem,delta_mean,delta_sem,tstar_mean,tstar_sem,plateau_mean,plateau_sem
8,0.2,1.1171349352143305,0.03134964928162565,0.3536207736707737,0.00578694533029361,2.7295555555555553,0.009985367800890136,1.4590000000000003,0.04531701202580956,0.11763458093571448,0.003998837972181213,290.85,29.131577639899174,0.023666715750401756,9.333224641355713e-05
8,0.3,1.5251340842230081,0.027505351887268915,0.259434521034521,0.004112928207517126,2.5971414141414138,0.005966940121986018,2.0149999999999997,0.07678918509379053,0.11329102050952633,0.0027309594496561784,251.25,32.55302354782522,0.022609693025831837,7.133591032047301e-05
8,0.4,1.9913108279231584,0.037444002531502395,0.1890088494838495,0.004525050242815609,2.514080808080808,0.0042461718593343025,2.573,0.08086733775628743,0.10948039875577809,0.0032670659183974397,298.4,27.428797774755296,0.022040676099942168,3.785094263255918e-05
8,0.5,2.3262595626739393,0.04180662150879572,0.13484976967476967,0.003049734122400542,2.461848484848485,0.0023836885760152937,2.9330000000000003,0.09806845085261405,0.11166751223899676,0.0033659261046282995,295.2,31.419705516392767,0.02175553558920346,4.105726311096224e-05
8,0.7,2.6753146389597386,0.020736631614394242,0.08037632408441231,0.0017566629866876825,2.4209191919191917,0.0014518016385443805,3.4910000000000005,0.12016195211813971,0.10619286796756984,0.0030167270355372106,267.0,32.743179281702076,0.021491560714513747,3.012278326303476e-05
8,0.9,2.637069807911353,0.020692023107524507,0.07275299422799422,0.0015650598750056792,2.4171111111111108,0.001255651121665226,3.9769999999999994,0.11784266942343977,0.10651503374194496,0.0035912670177886312,210.85,28.07445692402521,0.021414100117998703,3.0348310438698448e-05
8,1.0,2.6981864920970375,0.015216821544239869,0.0708186289200995,0.0017869159770807076,2.416929292929293,0.001509690673048199,3.78,0.1191107401582772,0.10829462173416089,0.002573545178237952,217.25,31.544194144256185,0.021521472051438905,2.836457201837941e-05
10,0.0,0.21586328420955794,6.367565748859375e-18,0.6666666666666664,2.54702629954375e-17,5.454545454545454,0.0,0.0,0.0,0.27632685095456916,0.013236075593559988,10.4,1.1616684915286832,0.03661175844674093,0.00041648324659863804
10,0.01,0.2683592319573428,0.009712086359076662,0.6446839105339104,0.002089452824780605,3.9453535353535356,0.08176832250604452,0.11200000000000002,0.009558683018733886,0.22722804799154678,0.010697294811916544,60.75,27.314433720538382,0.033251966620305766,0.000432360930817424
10,0.03,0.39598467957700667,0.016677471017635788,0.6117577311577311,0.003213780666642651,3.288292929292929,0.040130834619417424,0.28500000000000003,0.02009844194013687,0.16303865862855207,0.00760532841658012,153.4,35.02581003233262,0.02954245085832189,0.0003160495586669563
10,0.05,0.5945468295087198,0.021819020869210975,0.5675609584859586,0.004124634694777333,2.9511616161616163,0.026057308393496507,0.541,0.02079853233688428,0.14242253068894206,0.006604290971221578,211.5,34.79590871292047,0.026694592752395097,0.00032733264261876414
10,0.1,0.8896944000317999,0.020605076292136006,0.50340936008436,0.004194845985773112,2.7089595959595956,0.011950312817060754,0.9899999999999999,0.03319797076867642,0.12499722426544806,0.00410120590632177,258.4,35.67930256575858,0.02459636841004855,9.817381154897858e-05
10,0.2,1.594864846402645,0.03179261365881168,0.371929748029748,0.004405436571003349,2.4734343434343433,0.00536707985388872,1.7700000000000002,0.06533315431411205,0.11776039932452247,0.0031907605384227833,205.45,29.061774042998746,0.02262496753899092,8.921514380805541e-05
