m,realization,N,E,k_mean,C,L,lambda2
40,12,1000,38400,76.8,0.15255402081876948,1.9348028028028028,36.40619850858536
40,13,1000,38400,76.8,0.1486187011064648,1.9355715715715716,36.37426197565806
40,14,1000,38400,76.8,0.1484768995141646,1.9355795795795796,36.43642439077133
40,15,1000,38400,76.8,0.15246508846097076,1.935043043043043,36.097352108292064
40,16,1000,38400,76.8,0.14977184342563174,1.9352672672672673,36.21375218544381
40,17,1000,38400,76.8,0.15209757138317917,1.9348628628628628,36.39337334786056
40,18,1000,38400,76.8,0.15011547008558784,1.935023023023023,36.25935456711829
40,19,1000,38400,76.8,0.15356735497452872,1.934990990990991,36.41820573702751
40,20,1000,38400,76.8,0.15066608768575643,1.9356716716716718,36.320423275431615
40,21,1000,38400,76.8,0.1493218695029383,1.9359159159159158,16.61626980176755
40,22,1000,38400,76.8,0.14995309930815065,1.9348168168168167,36.393964570375296
40,23,1000,38400,76.8,0.15088851097139017,1.9352892892892892,36.349428070364816
40,24,1000,38400,76.8,0.14962092332854446,1.9351911911911912,36.46815874354922
40,25,1000,38400,76.8,0.1522049729644866,1.9348788788788789,36.309973134547626
40,26,1000,38400,76.8,0.1529183094409306,1.934990990990991,36.37274601839677
40,27,1000,38400,76.8,0.1476192448548927,1.935921921921922,36.35521277717652
40,28,1000,38400,76.8,0.15124774869990243,1.9350930930930932,36.38040438426721
40,29,1000,38400,76.8,0.1508823159394293,1.9350270270270271,35.35432496893161
50,0,1000,47500,95.0,0.17274133432962663,1.9071131131131132,46.056924432025085
50,1,1000,47500,95.0,0.17386229930234395,1.9069769769769769,45.981556756229004
50,2,1000,47500,95.0,0.1736823159058534,1.907009009009009,46.196473779510264
50,3,1000,47500,95.0,0.1718527473383066,1.906994994994995,46.28917890265974
50,4,1000,47500,95.0,0.1725338275186103,1.907021021021021,46.12960899873143
50,5,1000,47500,95.0,0.17343011523291932,1.9071711711711712,31.458790301490367
50,6,1000,47500,95.0,0.17284787991099357,1.9071111111111112,46.341439677324054
50,7,1000,47500,95.0,0.17484807978568162,1.906866866866867,44.859603351401184
