m,t,model,variance_mean,sem_total,sem_network,sem_runs
120,31,model3_dynamic_q,0.04923366278678707,9.515856388422339e-05,9.404115148712408e-05,9.515856388422339e-05
120,32,model1_fixed_q,0.04497550717665234,7.789712290176882e-05,7.392682874815179e-05,7.789712290176882e-05
120,32,model3_dynamic_q,0.04928298439282997,9.115975072030199e-05,8.282962129139858e-05,9.115975072030199e-05
120,33,model1_fixed_q,0.04505781077162299,7.835156564002707e-05,6.814662429223102e-05,7.835156564002707e-05
120,33,model3_dynamic_q,0.04935786875738935,9.029294942221487e-05,8.340156429202513e-05,9.029294942221487e-05
120,34,model1_fixed_q,0.04513017306660294,8.33090890771887e-05,8.33090890771887e-05,7.294011609870852e-05
120,34,model3_dynamic_q,0.049384294936075844,0.00010586389585728999,0.00010586389585728999,9.308997268861683e-05
120,35,model1_fixed_q,0.04503955627738706,7.744595169775722e-05,7.744595169775722e-05,7.226677594592216e-05
120,35,model3_dynamic_q,0.04951516316576489,9.829854905778055e-05,9.829854905778055e-05,9.30194015424567e-05
120,36,model1_fixed_q,0.04504164981641167,8.585591975040233e-05,8.585591975040233e-05,7.225723970967721e-05
120,36,model3_dynamic_q,0.049385906437559086,9.46612677945819e-05,8.017822889269668e-05,9.46612677945819e-05
120,37,model1_fixed_q,0.045037638240794715,7.406297612162748e-05,7.406297612162748e-05,7.220433373700105e-05
120,37,model3_dynamic_q,0.049253807544275635,9.168258462334254e-05,8.691376507133346e-05,9.168258462334254e-05
120,38,model1_fixed_q,0.04507292785970943,7.477728956789172e-05,6.930509277580943e-05,7.477728956789172e-05
120,38,model3_dynamic_q,0.04934762323592293,9.146445703756367e-05,8.796867473572956e-05,9.146445703756367e-05
120,39,model1_fixed_q,0.04502735166182215,9.074266545966534e-05,9.074266545966534e-05,7.763775228726279e-05
120,39,model3_dynamic_q,0.04937927997678642,0.00010949129609458468,0.00010949129609458468,9.33942115326625e-05
120,40,model1_fixed_q,0.0450111150967922,9.129555220414034e-05,9.129555220414035e-05,7.415224090167742e-05
120,40,model3_dynamic_q,0.049279376105326705,8.898933539815619e-05,8.898933539815619e-05,8.799319575766382e-05
120,41,model1_fixed_q,0.044969344019549475,9.288670200353736e-05,9.288670200353736e-05,7.142071443061606e-05
120,41,model3_dynamic_q,0.04905560534135312,8.712620638050534e-05,7.560224225086158e-05,8.712620638050534e-05
120,42,model1_fixed_q,0.04502713957504993,8.436871740252324e-05,8.436871740252324e-05,7.04706401928392e-05
120,42,model3_dynamic_q,0.04904378824092268,0.00010293261933151536,0.00010293261933151535,9.223758637451317e-05
120,43,model1_fixed_q,0.045037214201887714,7.753253163253911e-05,7.753253163253911e-05,7.358318744986092e-05
120,43,model3_dynamic_q,0.04921161878713518,9.289158743310265e-05,8.791378752299241e-05,9.289158743310265e-05
120,44,model1_fixed_q,0.045059866661423836,7.976676715778885e-05,7.976676715778887e-05,7.558316791326841e-05
120,44,model3_dynamic_q,0.049201670793983424,9.23592386217933e-05,9.23592386217933e-05,9.055060622594342e-05
120,45,model1_fixed_q,0.04495050833791262,7.322917331075187e-05,7.322917331075187e-05,7.31743367334587e-05
120,45,model3_dynamic_q,0.04923217924074484,9.715182042027712e-05,9.715182042027712e-05,9.231861011705663e-05
120,46,model1_fixed_q,0.04499879919282516,8.129401994848182e-05,8.12940199484818e-05,7.325853427004449e-05
120,46,model3_dynamic_q,0.04914398185369752,9.215742290322866e-05,8.04705718914746e-05,9.215742290322866e-05
120,47,model1_fixed_q,0.044972568447725195,7.370613182282993e-05,7.009579418368701e-05,7.370613182282993e-05
120,47,model3_dynamic_q,0.049147974648256466,9.879321071658616e-05,9.879321071658616e-05,9.316967240167548e-05
120,48,model1_fixed_q,0.04490431305025826,7.486246511122437e-05,7.226161528683294e-05,7.486246511122437e-05
120,48,model3_dynamic_q,0.049152884270479105,0.00010899398014447023,0.00010899398014447024,9.231018344847648e-05
120,49,model1_fixed_q,0.04491940718913385,7.61966850232324e-05,6.204467581569399e-05,7.61966850232324e-05
120,49,model3_dynamic_q,0.04916890264717388,0.00010109363807092607,0.00010109363807092608,9.317729163521036e-05
120,50,model1_fixed_q,0.04501870357731837,7.70815743394978e-05,5.390650094685553e-05,7.70815743394978e-05
120,50,model3_dynamic_q,0.04931485289027989,9.338594610374721e-05,8.248822148754135e-05,9.338594610374721e-05
120,51,model1_fixed_q,0.044988211324887874,7.561568830959006e-05,5.354442639087016e-05,7.561568830959006e-05
120,51,model3_dynamic_q,0.04931508079912705,9.774330947797295e-05,7.79462933090747e-05,9.774330947797295e-05
120,52,model1_fixed_q,0.04493422028871374,7.670336375736779e-05,7.084271037921691e-05,7.670336375736779e-05
120,52,model3_dynamic_q,0.04934565692834418,9.515464607686111e-05,8.31455922308189e-05,9.515464607686111e-05
120,53,model1_fixed_q,0.04506258385646316,8.396807355100358e-05,8.396807355100358e-05,7.567669917051101e-05
120,53,model3_dynamic_q,0.04921306198843525,9.553073927061491e-05,8.793211068354477e-05,9.553073927061491e-05
120,54,model1_fixed_q,0.04505507297137723,7.728140459703756e-05,7.728140459703756e-05,7.351564426572483e-05
120,54,model3_dynamic_q,0.04916593192137684,9.231347207862324e-05,7.437978278139533e-05,9.231347207862324e-05
120,55,model1_fixed_q,0.044916745562931376,7.699208069623868e-05,6.939349513936526e-05,7.699208069623868e-05
120,55,model3_dynamic_q,0.04922890457314703,9.00850288417659e-05,8.584599485533956e-05,9.00850288417659e-05
120,56,model1_fixed_q,0.044877219128768506,7.414026006466149e-05,7.31632152618235e-05,7.414026006466149e-05
120,56,model3_dynamic_q,0.0492971923749339,9.260611414824216e-05,8.049147555155553e-05,9.260611414824216e-05
120,57,model1_fixed_q,0.044954301511664525,7.360067093957588e-05,7.087062225543104e-05,7.360067093957588e-05
120,57,model3_dynamic_q,0.04933904113038703,0.00010150159904347772,0.00010150159904347772,9.053636780756379e-05
120,58,model1_fixed_q,0.04490374313575995,8.577185759350611e-05,8.577185759350611e-05,7.731353490342541e-05
120,58,model3_dynamic_q,0.049180592097747146,9.400631180645255e-05,8.588726468086961e-05,9.400631180645255e-05
120,59,model1_fixed_q,0.04501681544217105,7.525686364693737e-05,7.391852183899495e-05,7.525686364693737e-05
120,59,model3_dynamic_q,0.049213138174475375,9.855830587981556e-05,6.274521228144512e-05,9.855830587981556e-05
120,60,model1_fixed_q,0.045042612493602106,7.764989878656652e-05,7.764989878656652e-05,7.527133883519384e-05
120,60,model3_dynamic_q,0.04913603823101767,9.301393685332521e-05,6.950215896213358e-05,9.301393685332521e-05
120,61,model1_fixed_q,0.04507927725978897,7.646847861982864e-05,6.87092090657552e-05,7.646847861982864e-05
120,61,model3_dynamic_q,0.049157582545499075,9.349680332391517e-05,8.912344923140589e-05,9.349680332391517e-05
120,62,model1_fixed_q,0.045115849199124716,7.626926090588801e-05,6.926091024211178e-05,7.626926090588801e-05
120,62,model3_dynamic_q,0.04905796621177301,9.199661803009095e-05,8.737920077229306e-05,9.199661803009095e-05
120,63,model1_fixed_q,0.045012902500210936,7.518367780967537e-05,6.505356718395962e-05,7.518367780967537e-05
120,63,model3_dynamic_q,0.04919706070293752,9.367251756789416e-05,7.944114054682369e-05,9.367251756789416e-05
120,64,model1_fixed_q,0.04503578257630003,7.649485715494834e-05,5.3575436772364866e-05,7.649485715494834e-05
120,64,model3_dynamic_q,0.04918149891496753,0.00010699688479301628,0.00010699688479301628,9.235413556834848e-05
120,65,model1_fixed_q,0.04502221095527395,7.478824869231166e-05,7.319696121214061e-05,7.478824869231166e-05
120,65,model3_dynamic_q,0.04921536025050997,0.00010445354798080846,0.00010445354798080846,9.584758773423719e-05
120,66,model1_fixed_q,0.044985619677519795,7.584990061163357e-05,7.137273975763699e-05,7.584990061163357e-05
120,66,model3_dynamic_q,0.04921193559298619,9.373815064109873e-05,9.328813118251882e-05,9.373815064109873e-05
120,67,model1_fixed_q,0.0449682019135225,7.468280284485267e-05,7.43242928336919e-05,7.468280284485267e-05
120,67,model3_dynamic_q,0.04924507778926494,9.999132529954511e-05,9.999132529954511e-05,9.466774542350474e-05
120,68,model1_fixed_q,0.04495804943186101,7.149373199927939e-05,6.58691609759972e-05,7.149373199927939e-05
120,68,model3_dynamic_q,0.04925696435224621,0.00010598953455211181,0.0001059895345521118,9.530186621713005e-05
120,69,model1_fixed_q,0.04505100803565327,7.515573529213238e-05,6.940755206997502e-05,7.515573529213238e-05
120,69,model3_dynamic_q,0.04931089944533141,9.444684910650494e-05,8.667663074936318e-05,9.444684910650494e-05
120,70,model1_fixed_q,0.04498389910932936,7.537869447780532e-05,6.369416206400247e-05,7.537869447780532e-05
120,70,model3_dynamic_q,0.049283875577532374,9.564852858795672e-05,9.564852858795672e-05,9.218243573535464e-05
120,71,model1_fixed_q,0.04496142425729663,7.537475852890215e-05,6.61356307558752e-05,7.537475852890215e-05
120,71,model3_dynamic_q,0.049134756192277376,9.777475412366812e-05,9.777475412366814e-05,8.854758931487938e-05
120,72,model1_fixed_q,0.04492731298287248,7.436537012194313e-05,5.6184222173283984e-05,7.436537012194313e-05
120,72,model3_dynamic_q,0.049193099066244285,8.936549475211601e-05,8.274720386031474e-05,8.936549475211601e-05
120,73,model1_fixed_q,0.04484474827264574,7.579219684902942e-05,6.540170601428647e-05,7.579219684902942e-05
120,73,model3_dynamic_q,0.04919148257462148,8.961588412323716e-05,6.121466718662721e-05,8.961588412323716e-05
120,74,model1_fixed_q,0.04487348459054492,7.505270849671382e-05,7.096692227573974e-05,7.505270849671382e-05
120,74,model3_dynamic_q,0.049225636353356576,9.106449009058015e-05,8.66923175845199e-05,9.106449009058015e-05
120,75,model1_fixed_q,0.04487100677420978,8.763986196490048e-05,8.763986196490048e-05,7.545586659759069e-05
120,75,model3_dynamic_q,0.04918305177569395,0.00010073447601277454,0.00010073447601277454,9.42729952039541e-05
120,76,model1_fixed_q,0.04491566843647653,7.748261875354847e-05,7.748261875354847e-05,7.668648411720505e-05
120,76,model3_dynamic_q,0.0492492848233966,9.81176187257097e-05,9.81176187257097e-05,9.570482062333928e-05
120,77,model1_fixed_q,0.04496291059633735,7.774464178135747e-05,7.774464178135747e-05,7.601979668469944e-05
120,77,model3_dynamic_q,0.04923017705232736,0.00010788769323756028,0.00010788769323756028,9.344669681564994e-05
120,78,model1_fixed_q,0.045052224960085915,8.184809331542884e-05,8.184809331542885e-05,7.59289073309276e-05
120,78,model3_dynamic_q,0.049213537393642995,0.00011119808380453712,0.00011119808380453712,9.248982106561752e-05
120,79,model1_fixed_q,0.04502468612664077,7.482039971348581e-05,7.077288447027014e-05,7.482039971348581e-05
120,79,model3_dynamic_q,0.04920807882962975,0.0001119635764826213,0.0001119635764826213,9.31820167156787e-05
120,80,model1_fixed_q,0.04494702090953624,7.594771567784532e-05,7.290358302524202e-05,7.594771567784532e-05
120,80,model3_dynamic_q,0.04925802713944148,9.509644310394027e-05,8.64595263900283e-05,9.509644310394027e-05
120,81,model1_fixed_q,0.044992495242447014,7.404196313131314e-05,6.907815157825046e-05,7.404196313131314e-05
120,81,model3_dynamic_q,0.04927588872846684,9.247305515357677e-05,7.242787710013843e-05,9.247305515357677e-05
120,82,model1_fixed_q,0.04486557628191216,8.887334181221181e-05,8.88733418122118e-05,7.744367626219628e-05
120,82,model3_dynamic_q,0.049192416140507976,9.270766624182036e-05,7.974204527073835e-05,9.270766624182036e-05
120,83,model1_fixed_q,0.0448001751070479,7.88943311652685e-05,7.88943311652685e-05,7.373487569675367e-05
120,83,model3_dynamic_q,0.04923012498419343,8.98009617014312e-05,8.320441525882414e-05,8.98009617014312e-05
120,84,model1_fixed_q,0.04489511323271596,7.28811152101553e-05,6.2207984667092e-05,7.28811152101553e-05
120,84,model3_dynamic_q,0.049316679636313775,9.202496522495519e-05,9.182345651696345e-05,9.202496522495519e-05
120,85,model1_fixed_q,0.044894138298032266,7.372265501138202e-05,5.4720661437752e-05,7.372265501138202e-05
120,85,model3_dynamic_q,0.04931966707304465,9.873038670879599e-05,9.873038670879599e-05,9.092726084234973e-05
120,86,model1_fixed_q,0.04482291003624836,8.125822443332755e-05,8.125822443332754e-05,7.681187729969072e-05
120,86,model3_dynamic_q,0.04935310745540444,0.00010368950582980548,0.00010368950582980547,9.40286072758184e-05
