p,realization,N,E,k_mean,C,L,lambda2
0.03,8,100,500,10.0,0.6187575757575757,3.272727272727273,0.39680252829345647
0.03,9,100,500,10.0,0.6283160173160173,3.395757575757576,0.3115744979004867
0.03,10,100,500,10.0,0.6105656565656565,3.2175757575757578,0.3923347880954471
0.03,11,100,500,10.0,0.5931269841269841,3.0309090909090908,0.515450198575058
0.03,12,100,500,10.0,0.6202734487734487,3.402020202020202,0.36114334890294897
0.03,13,100,500,10.0,0.611040404040404,3.1872727272727275,0.3969829819596227
0.03,14,100,500,10.0,0.6161176046176046,3.30989898989899,0.373649352139909
0.03,15,100,500,10.0,0.626085137085137,3.375959595959596,0.36403717578941214
0.03,16,100,500,10.0,0.6273787878787879,3.5943434343434344,0.29883007248029314
0.03,17,100,500,10.0,0.6157092352092353,3.432929292929293,0.31768251563375693
0.03,18,100,500,10.0,0.6117424242424242,3.1991919191919194,0.4386122225156982
0.03,19,100,500,10.0,0.6153874458874459,3.153131313131313,0.4240583022837009
0.03,20,100,500,10.0,0.6182575757575758,3.378989898989899,0.3268605222430205
0.03,21,100,500,10.0,0.6022907647907647,3.159393939393939,0.40295056415962693
0.03,22,100,500,10.0,0.6510050505050505,4.056161616161616,0.23663458371784812
0.03,23,100,500,10.0,0.6197525252525252,3.5705050505050506,0.29814322288908857
0.03,24,100,500,10.0,0.6135606060606061,3.4044444444444446,0.3693380581802474
0.03,25,100,500,10.0,0.5961392496392497,3.1347474747474746,0.45369997341543405
0.03,26,100,500,10.0,0.6093196248196248,3.1234343434343432,0.4596308651887303
0.03,27,100,500,10.0,0.6116464646464647,3.2256565656565654,0.4210313767370522
0.03,28,100,500,10.0,0.614033189033189,3.318989898989899,0.3625232714984013
0.03,29,100,500,10.0,0.607459706959707,3.220808080808081,0.4470625572602118
0.05,0,100,500,10.0,0.5657640692640693,2.9452525252525255,0.6372726548297016
0.05,1,100,500,10.0,0.5984090909090909,3.1414141414141414,0.49772948288305474
0.05,2,100,500,10.0,0.575539516039516,2.8884848484848487,0.6205243816128415
0.05,3,100,500,10.0,0.5929848484848484,3.0591919191919192,0.4798640193195768
0.05,4,100,500,10.0,0.5435685425685426,2.9016161616161615,0.6100371597722238
0.05,5,100,500,10.0,0.6002792207792208,3.136767676767677,0.45300410494797017
0.05,6,100,500,10.0,0.5603001443001443,2.8656565656565656,0.7178999029098365
0.05,7,100,500,10.0,0.5603066378066378,2.9715151515151517,0.5175694128455244
0.05,8,100,500,10.0,0.5545606060606061,2.8135353535353533,0.7358632463802759
0.05,9,100,500,10.0,0.6022424242424242,3.1303030303030304,0.47175264860021604
0.05,10,100,500,10.0,0.5524494949494949,2.8624242424242423,0.6562038103553309
0.05,11,100,500,10.0,0.5524623154623155,2.9002020202020202,0.6316488330541465
0.05,12,100,500,10.0,0.5751733821733822,2.9668686868686867,0.5440154271893328
0.05,13,100,500,10.0,0.6064963924963925,3.2117171717171717,0.343738452719099
0.05,14,100,500,10.0,0.6011031746031746,3.041818181818182,0.48110339242499467
0.05,15,100,500,10.0,0.5783434343434343,2.8905050505050505,0.602258740348494
0.05,16,100,500,10.0,0.5747097902097902,3.0521212121212122,0.4290486841931946
0.05,17,100,500,10.0,0.5578455988455988,2.8985858585858586,0.6279888884696472
0.05,18,100,500,10.0,0.555481240981241,2.911919191919192,0.6648241926260876
0.05,19,100,500,10.0,0.5912344877344877,3.038181818181818,0.47813094440827214
0.05,20,100,500,10.0,0.5730685425685426,2.9014141414141412,0.6119932126033817
0.05,21,100,500,10.0,0.5681046176046176,3.0632323232323233,0.427930763043331
0.05,22,100,500,10.0,0.5458515928515929,2.9163636363636365,0.6378898174270995
0.05,23,100,500,10.0,0.5742164502164502,2.971919191919192,0.6248153244439971
0.05,24,100,500,10.0,0.5829675324675325,3.0327272727272727,0.5235524998202613
0.05,25,100,500,10.0,0.577590909090909,2.953939393939394,0.5645797749974044
0.05,26,100,500,10.0,0.5633607503607504,2.847676767676768,0.7062590378028093
0.05,27,100,500,10.0,0.5595064935064935,3.0428282828282827,0.49655367735403944
0.05,28,100,500,10.0,0.5802272727272727,3.1280808080808082,0.4478270420380711
0.05,29,100,500,10.0,0.5886060606060606,3.0765656565656565,0.4813252083615652
0.1,0,100,500,10.0,0.4884596514596515,2.6907070707070706,0.982867060446133
0.1,1,100,500,10.0,0.4706851481851482,2.584040404040404,1.2424391645041384
0.1,2,100,500,10.0,0.4909632034632035,2.6880808080808083,0.9920744301085835
0.1,3,100,500,10.0,0.4879157509157509,2.7018181818181817,0.8551665429334865
0.1,4,100,500,10.0,0.5157056277056278,2.751313131313131,0.8097567705091921
0.1,5,100,500,10.0,0.5077748917748918,2.714141414141414,0.8823958114613717
0.1,6,100,500,10.0,0.5000007770007769,2.6872727272727275,1.0307102567715878
0.1,7,100,500,10.0,0.5322894327894327,2.745050505050505,0.8522010110034364
0.1,8,100,500,10.0,0.5279305694305695,2.7707070707070707,0.8378716871760049
0.1,9,100,500,10.0,0.5037669552669553,2.698989898989899,0.9888750121872618
0.1,10,100,500,10.0,0.49567748917748916,2.6880808080808083,0.9904191784869756
0.1,11,100,500,10.0,0.5203355533355534,2.7959595959595958,0.7460401865783624
0.1,12,100,500,10.0,0.4501010101010101,2.637171717171717,0.9922409827111296
0.1,13,100,500,10.0,0.5162311577311577,2.717979797979798,0.9889942481289935
0.1,14,100,500,10.0,0.5237385392385392,2.75979797979798,0.7800964854377352
0.1,15,100,500,10.0,0.46581024531024534,2.658989898989899,0.9358281770977984
0.1,16,100,500,10.0,0.5022812742812743,2.6907070707070706,0.8392353120654008
0.1,17,100,500,10.0,0.4659202464202464,2.6317171717171717,1.1311916744370714
0.1,18,100,500,10.0,0.5238903318903319,2.757575757575758,0.8302552512787524
0.1,19,100,500,10.0,0.5204796314796315,2.7343434343434345,0.8779687621984991
0.1,20,100,500,10.0,0.5163131868131868,2.707070707070707,0.9752564474868644
0.1,21,100,500,10.0,0.4977316017316017,2.705656565656566,0.9896802396430644
0.1,22,100,500,10.0,0.5047973137973137,2.722828282828283,0.8618401792763224
0.1,23,100,500,10.0,0.503018759018759,2.668888888888889,0.9280516692855543
0.1,24,100,500,10.0,0.4900139305139305,2.694949494949495,0.811654549964201
0.1,25,100,500,10.0,0.5459271284271284,2.7624242424242422,0.8755181659054765
