k,p,realization,N,E,k_mean,C,L,lambda2
8,0.03,8,100,400,8.0,0.5844047619047619,3.6543434343434344,0.25588642840000914
8,0.03,9,100,400,8.0,0.5757460317460318,3.707878787878788,0.21196292430011338
8,0.03,10,100,400,8.0,0.5856349206349206,3.812121212121212,0.25033743957894816
8,0.03,11,100,400,8.0,0.5728730158730159,3.9046464646464645,0.2168890567351735
8,0.03,12,100,400,8.0,0.6111507936507937,4.1725252525252525,0.18485560766406775
8,0.03,13,100,400,8.0,0.5688412698412698,3.726060606060606,0.23330865713571575
8,0.03,14,100,400,8.0,0.5921825396825396,3.77010101010101,0.23283915402224664
8,0.03,15,100,400,8.0,0.5843412698412699,3.7325252525252526,0.2757900516770174
8,0.03,16,100,400,8.0,0.5779285714285715,3.748080808080808,0.2055001795553627
8,0.03,17,100,400,8.0,0.583031746031746,3.6074747474747473,0.26289098143096457
8,0.03,18,100,400,8.0,0.5919206349206348,3.955959595959596,0.21968459212471952
8,0.03,19,100,400,8.0,0.5684285714285714,3.8864646464646464,0.18321859435662047
8,0.03,20,100,400,8.0,0.6102777777777778,4.224040404040404,0.17590235986820207
8,0.03,21,100,400,8.0,0.5807619047619048,3.743030303030303,0.2546513813815683
8,0.03,22,100,400,8.0,0.6002857142857143,3.9226262626262627,0.20957229603399852
8,0.03,23,100,400,8.0,0.6048888888888889,4.174545454545455,0.20981951216030648
8,0.03,24,100,400,8.0,0.5845396825396826,3.707878787878788,0.2583325675773072
8,0.03,25,100,400,8.0,0.5757777777777777,3.64,0.23709935528058276
8,0.03,26,100,400,8.0,0.5952380952380952,3.954747474747475,0.20413371122121737
8,0.03,27,100,400,8.0,0.5873809523809524,3.892929292929293,0.2381196635179347
8,0.03,28,100,400,8.0,0.5986507936507937,3.8997979797979796,0.21767994154285017
8,0.03,29,100,400,8.0,0.5953174603174604,3.813939393939394,0.24389209101180254
8,0.05,0,100,400,8.0,0.5486782106782107,3.4113131313131313,0.34451728707381335
8,0.05,1,100,400,8.0,0.5645555555555556,3.4945454545454546,0.35972379045301484
8,0.05,2,100,400,8.0,0.5476507936507936,3.4260606060606063,0.35684531441583006
8,0.05,3,100,400,8.0,0.5793253968253969,3.681212121212121,0.29010940782775896
8,0.05,4,100,400,8.0,0.5324285714285714,3.241010101010101,0.4588077860348156
8,0.05,5,100,400,8.0,0.5564285714285714,3.3713131313131313,0.36698784667713447
8,0.05,6,100,400,8.0,0.5169314574314574,3.213131313131313,0.39866486793910755
8,0.05,7,100,400,8.0,0.5636507936507936,3.395959595959596,0.3766026253187451
8,0.05,8,100,400,8.0,0.5251349206349206,3.2674747474747474,0.40831010492757364
8,0.05,9,100,400,8.0,0.5665396825396826,3.623030303030303,0.273711627694991
